"Matricules";"Q1/2";"Q2/2";"Q3/2";"Q4/2";"Q5/2";"Global/10";"Global arrondi/10"
1933334;1,78;0,50;2;0,75;1,7;6,73;6,75
1955913;1,18;0,00;1,5;0,5;0,9;4,08;4,25
1960154;1,67;0,75;1,9;0,5;1,6;6,42;6,5
2167525;1,78;0,00;1,8;0,75;1,5;5,83;6
2231796;1,78;1,25;1,9;2;1,5;8,43;8,5
2136521;1,29;0,50;1,9;0,75;1,8;6,24;6,25
2165286;1,78;0,25;1,8;1;2;6,83;7
1956633;2;0,50;1,8;0,5;1,4;6,20;6,25
2229491;1,73;1,40;2;1,5;1,9;8,53;8,75
1888986;1,79;0,75;2;2;1,9;8,44;8,5
1981631;1,29;0,50;2;1,25;1,9;6,94;7
2164386;1,78;1,00;1,9;2;1,9;8,58;8,75
2016033;1,95;1,25;2;2;2;9,20;9,25
2235521;1,79;0,50;1,5;2;1,9;7,69;7,75
1954495;1,95;1,75;1,9;0,5;1,8;7,90;8
1927541;;;;;;;
1929767;1,56;0,25;1,9;2;2;7,71;7,75
2235576;1,89;2,00;2;2;1,9;9,79;10
2026416;1,07;1,75;1,9;0,5;1,8;7,02;7,25
1938126;1,56;1,10;1,9;1,75;1,8;8,11;8,25
1904128;1,73;1,00;1,9;2;1,7;8,33;8,5
1962066;1,01;0,25;1,8;0;1;4,06;4,25
2020285;2;0,75;2;1;1,8;7,55;7,75
2230367;1,73;0,25;2;0,5;1,8;6,28;6,5
1932052;1,73;0,00;1,9;0,75;1,8;6,18;6,25
1955531;1,78;0,25;1;2;1,8;6,83;7
1934346;1,73;0,00;1,95;1,25;0;4,93;5
1955867;1,63;1,00;1,8;0,75;1,7;6,88;7
2041402;2;0,50;1,9;0;1,95;6,35;6,5
2035956;1,73;2,00;1,8;2;1,9;9,43;9,5
2104481;1,73;0,00;2;0,5;1,5;5,73;5,75
2022401;1,78;2,00;2;2;1,8;9,58;9,75
2156905;1,9;0,50;2;0,5;1,25;6,15;6,25
1926415;1,51;0,50;2;0,75;1,9;6,66;6,75
2147782;1,12;0,00;1,8;0,5;0,5;3,92;4
;;;;;;;
;;;;;;;
